Original Query,Processed Query,Title,ID,BM25 Score,SBERT Score
AAA games,aaa game,Hero Emblem 2,23543,0.0,0.40152186155319214
AAA games,aaa game,Dont Play This Game.exe,36903,0.0,0.394931823015213
AAA games,aaa game,2034: A.C. (After Canada) II,23624,0.0,0.39611750841140747
AAA games,aaa game,The Lost Dollar,28646,0.0,0.396436870098114
AAA games,aaa game,Global Champion,10593,0.0,0.39704447984695435
AAA games,aaa game,Popeye Arcade Game,40959,0.0,0.3973948061466217
AAA games,aaa game,Alice's Tea Cup Madness,17091,0.0,0.39741015434265137
AAA games,aaa game,Family Game Night Fun Pack,31768,0.0,0.39802905917167664
AAA games,aaa game,Gutterball 2,9058,0.0,0.3986004590988159
AAA games,aaa game,Aliens RPG,34404,0.0,0.4008585810661316
AAA games,aaa game,Inside Pitch 2003,13028,0.0,0.4011729657649994
AAA games,aaa game,Egyptian Ball,27325,0.0,0.40131711959838867
AAA games,aaa game,Unbeknown,31281,0.0,0.3959156274795532
AAA games,aaa game,H2O: A Diabolic Game,18005,12.533689805258417,0.0
AAA games,aaa game,Star Defender 2,31048,0.0,0.3852575421333313
AAA games,aaa game,Stealth Inc. 2: A Game of Clones Deluxe,40184,0.0,0.3712148070335388
AAA games,aaa game,Game Factory,28042,7.4270326018828134,0.0
AAA games,aaa game,Game Tycoon 1.5,20254,7.419236244128452,0.0
AAA games,aaa game,Game de Hakken!! Tamagotchi: Osutchi & Mesutchi,34650,7.417482616657681,0.0
AAA games,aaa game,A Game of Concentration,12634,7.414009398402888,0.0
AAA games,aaa game,Hole Digging Game,3674,7.382873363992547,0.0
AAA games,aaa game,Happy Game,6534,7.382873363992547,0.0
AAA games,aaa game,Pizza Game,8315,7.382873363992547,0.0
AAA games,aaa game,R.I.P.D.: The Game,8871,7.382873363992547,0.0
AAA games,aaa game,Voya Nui Online Game,9875,7.382873363992547,0.0
AAA games,aaa game,The Higher Lower Game,24082,7.429096463623968,0.0
AAA games,aaa game,Prodigy Math Game,10501,7.382873363992547,0.0
AAA games,aaa game,A Game of Changes,15616,7.382873363992547,0.0
AAA games,aaa game,The Wiki Game,20324,7.382873363992547,0.0
AAA games,aaa game,Superhero Fight,31848,0.0,0.36320826411247253
AAA games,aaa game,Carmen Sandiego's Think Quick Challenge,27684,0.0,0.3623628616333008
AAA games,aaa game,Aphelion Episode Two: Wings of Omega,22669,0.0,0.3620668053627014
AAA games,aaa game,No Fear: Dangerous Sports Pinball,39360,0.0,0.3620496988296509
AAA games,aaa game,Game Party,26308,7.569859111765744,0.0
AAA games,aaa game,Speedrun the Game,40020,7.58425159028821,0.0
AAA games,aaa game,Beowulf: The Game,30494,7.5855737637362415,0.0
AAA games,aaa game,Clay Game,12520,7.382873363992547,0.0
AAA games,aaa game,Upgrade the game,8400,7.436215063444705,0.0
AAA games,aaa game,Valentino Rossi: The Game,24916,7.440331557290744,0.0
AAA games,aaa game,Game Room,6583,7.444828144875795,0.0
AAA games,aaa game,Jackass: The Game,3808,7.552637517194374,0.0
AAA games,aaa game,2999 Game Kids,40799,7.545861630639525,0.0
AAA games,aaa game,Ascension: Deckbuilding Game,38592,7.537965577277424,0.0
AAA games,aaa game,Football Game,5918,7.522862406607228,0.0
AAA games,aaa game,Game Boy Gallery,34366,7.51830558491492,0.0
AAA games,aaa game,Duck Game,1811,7.51678235315469,0.0
AAA games,aaa game,Ribby: The Game,40277,7.51678235315469,0.0
AAA games,aaa game,The Astonishing Game,24271,7.51508733560284,0.0
AAA games,aaa game,Crab Game,1412,7.511121222898842,0.0
AAA games,aaa game,Game Party 3,7342,7.495692820924913,0.0
AAA games,aaa game,Lost Game,23280,7.478139077816877,0.0
AAA games,aaa game,Lamia's Game Room,17611,7.472917116559488,0.0
AAA games,aaa game,The Game of Life: DX Jinsei Game,14025,7.471789603233806,0.0
AAA games,aaa game,Plummet Challenge Game,39555,7.471660698111565,0.0
AAA games,aaa game,Game & Wario,5118,7.461232550989658,0.0
AAA games,aaa game,Cat Game!,16120,7.458667188742251,0.0
AAA games,aaa game,The Black Glove,30330,0.0,0.3715248703956604
AAA games,aaa game,Game Tycoon,13216,7.456740074219716,0.0
AAA games,aaa game,Banshees: The Game,39261,7.456225857102013,0.0
AAA games,aaa game,Untitled Goose Game,488,7.451684406407045,0.0
AAA games,aaa game,Another Pokémon Game,1540,7.445517420962414,0.0
AAA games,aaa game,Game Boy Wars 2,30860,7.585914666190168,0.0
AAA games,aaa game,Rwby Deckbuilding Game,27554,7.605822173856765,0.0
AAA games,aaa game,Loathe the Game,32642,7.458667188742251,0.0
AAA games,aaa game,Arma 4,15371,0.0,0.35834163427352905
AAA games,aaa game,Triennale Game Collection,15530,7.747716387285799,0.0
AAA games,aaa game,Bounty Game,22678,7.777835962140467,0.0
AAA games,aaa game,Game no Kanzume Otokuyou,37120,7.7876752239316955,0.0
AAA games,aaa game,DCL: The Game,14375,7.8101378467121805,0.0
AAA games,aaa game,Escape Game,21140,7.885574088162825,0.0
AAA games,aaa game,The Quarter Game,17048,7.885574088162825,0.0
AAA games,aaa game,Game Tycoon 2,7480,7.917097727848563,0.0
AAA games,aaa game,That Smiling Game,35394,7.931502483513225,0.0
AAA games,aaa game,Bigfield 2042,10148,15.699160438212456,0.0
AAA games,aaa game,Ousama Game,24817,14.083025382112671,0.0
AAA games,aaa game,"Walden, a game",26904,13.16336699869179,0.0
AAA games,aaa game,Lawnmower Game,27621,12.872469220556795,0.0
AAA games,aaa game,Best Game EU,21193,7.382873363992547,0.0
AAA games,aaa game,Bonesaw: The Game,21410,7.382873363992547,0.0
AAA games,aaa game,Jonah: A VeggieTales Game,25238,7.382873363992547,0.0
AAA games,aaa game,Just a Game,25627,7.382873363992547,0.0
AAA games,aaa game,X+X the game,26316,7.382873363992547,0.0
AAA games,aaa game,Vote: The Game,26458,7.6157280731929315,0.0
AAA games,aaa game,Pancake: The Game,29652,0.0,0.370339959859848
AAA games,aaa game,Sword of Chaos,37473,0.0,0.36983394622802734
AAA games,aaa game,Project GunGame,38121,0.0,0.3697335720062256
AAA games,aaa game,Legendary Eleven: Epic Football,18929,0.0,0.36799943447113037
AAA games,aaa game,The Entire Screen of One Game,24922,0.0,0.3679855465888977
AAA games,aaa game,Korwin the Game,11019,7.72422794340233,0.0
AAA games,aaa game,Power Balls,37614,0.0,0.3677516579627991
AAA games,aaa game,Rubik's Games,23201,0.0,0.36722853779792786
AAA games,aaa game,Ant Smasher Pro by Best Cool & Fun Games,35090,0.0,0.3672146201133728
AAA games,aaa game,FIFA for Switch,7988,0.0,0.36512669920921326
AAA games,aaa game,BLiP Football,36815,0.0,0.3646346926689148
AAA games,aaa game,Snipers vs Thieves,28823,0.0,0.36453089118003845
AAA games,aaa game,TV Pinball,32311,0.0,0.36375293135643005
AAA games,aaa game,Galaxy Balls,21879,0.0,0.3672736883163452
AAA games,aaa game,Peer Gynt the Game,21754,7.713365118248614,0.0
AAA games,aaa game,Distorted Travesty 3: Saved Game,5869,12.697930517731725,0.0
AAA games,aaa game,Game Boy Camera,9589,7.645046274204056,0.0
AAA games,aaa game,Arkanoid 2000,35624,0.0,0.3587406277656555
AAA games,aaa game,Alienate!: A Trivia Game,23552,7.666203571062807,0.0
AAA games,aaa game,Gundam Conquest V,32659,0.0,0.3593752384185791
AAA games,aaa game,Alpha Squad,25220,0.0,0.37039661407470703
AAA games,aaa game,Coup,37396,0.0,0.3596007227897644
AAA games,aaa game,Solitaire,7553,0.0,0.35884296894073486
AAA games,aaa game,SRX: The Game,18989,7.629842608774923,0.0
AAA games,aaa game,Animaniacs Game Pack,22248,7.629842608774923,0.0
AAA games,aaa game,Dawn of Zombies: Survival,27270,0.0,0.3616887927055359
AAA games,aaa game,X-COM: em@il Games,29490,0.0,0.3613218665122986
AAA games,aaa game,Hotel Transylvania 2: The Game,40569,0.0,0.3612753748893738
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Princess Peach: Parasol Fall,14347,0.0,0.45090341567993164
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Flipnote Studio,4737,6.537849512467451,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Ultimate Anime Jigsaw Puzzle,32785,6.826488276374588,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Smash Bros. for Nintendo 3DS,510,6.850542296311048,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Mario Advance 4: Super Mario Bros. 3-e - Caped Escape,15887,0.0,0.40426740050315857
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Picross S,5582,6.875068323179857,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Presents: New Style Boutique 2 - Fashion Forward,22208,6.911953235074012,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Mini Classics: Zelda,35469,6.915684518061117,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Diamond Dash,19498,6.940202771541641,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Pikmin 3 Deluxe,1284,7.0606630509695085,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,WordJong Arcade,32892,7.198849509838543,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Loot Box Simulator: RPG Anime Girls,24324,7.317142014439666,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,The Elder Scrolls V: Skyrim Switch,3512,7.3349489643199535,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Switch - Black & White,19988,7.490406282558681,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,FIFA for Switch,7988,7.490406282558681,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,BanG Dream! Girls Band Party! for Nintendo Switch,40084,7.656070139808641,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Seasons of Heaven,11803,7.658336320430165,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Mario Bros. / Tetris / Nintendo World Cup,33965,7.717512321490655,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Supercharged Robot Vulkaiser,8106,7.722649234557996,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Campus Challenge,28446,7.885847121260088,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Mario Kart Live: Home Circuit - Luigi Version,18588,7.929427471869474,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Pixel Puzzles: Illustrations & Anime,15581,7.952098694171881,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Anime Freak FX Vol. 5,15540,7.952098694171881,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Color Switch - Jump and Switch,36795,7.093452471337353,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Mario Party Superstars,471,6.492513474569275,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Swapdoodle,24828,0.0,0.4818744659423828
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Yo-kai Watch: Busters,20608,0.0,0.500799298286438
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Mario Party 7: Bowser's Lair Hockey,8641,0.0,0.4495302438735962
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Mario Advance 4: Super Mario Bros. 3-e - Puzzling Pipe Maze,34829,0.0,0.44614654779434204
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Game Boy Camera,9589,0.0,0.44513389468193054
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Mario Advance 4: Super Mario Bros. 3-e - A Towering Tour,15886,0.0,0.44335150718688965
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,NES Classic Edition,17717,0.0,0.4426945447921753
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Vs. Super Sky Kid,16591,0.0,0.43869054317474365
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Fan Network,30759,7.996894884003479,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,bit Generations: Digidrive,23043,0.0,0.43471670150756836
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nose,13236,0.0,0.4326171875
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,WarioWare: D.I.Y. Showcase,33940,0.0,0.43151211738586426
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Duplicate Super Mario Advance: Super Mario Bros. 2,7413,0.0,0.4303207993507385
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Pokémon Pikachu 2,31622,0.0,0.42251884937286377
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Master of Illusion Express: Mind Probe,31964,0.0,0.4203321933746338
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Pokédex 3D,7584,0.0,0.41595882177352905
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Chou Soujuu Mecha MG,23093,0.0,0.4154127836227417
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Mario Advance 4: Super Mario Bros. 3-e - Rich with Ropes,30383,0.0,0.41437625885009766
